Time,Gold Probe Temperature,Stainless Steel Probe Temperature
1,24.135,24.169,0.0051729400711369115
2,24.092,24.161,0.0051722844638023135
3,24.28,24.115,0.005176758609403218
4,24.062,24.072,0.005173483325975074
5,24.026,24.11,0.005172046962808297
6,24.186,24.125,0.005174779638643798
7,24.481,24.059,0.0051816776534511725
8,24.022,24.108,0.005172010909807392
9,24.224,24.077,0.005176452451030987
10,24.155,24.027,0.005176138352961974
11,24.101,24.027,0.005175115542962414
12,24.319,24.036,0.005179065949916536
13,24.143,24.12,0.00517406446770855
14,24.265,24.078,0.0051772091659395975
15,24.329,24.067,0.005178639795677602
16,24.202,23.998,0.005177604434326783
17,24.028,24.087,0.005172541509282693
18,24.153,24.168,0.005173300853389879
19,24.162,24.124,0.00517434491927911
20,24.258,24.122,0.005176202927637679
21,24.275,24.139,0.005176187378745429
22,24.016,24.136,0.005171341338836561
23,24.151,24.224,0.00517215116894429
24,24.203,24.183,0.005173950063326614
25,24.009,24.125,0.00517142715285062
26,24.197,24.184,0.005173816566887626
27,24.218,24.15,0.005174889364532788
28,24.448,24.046,0.005181310750783184
29,24.009,24.16,0.005170732258000946
30,24.26,23.992,0.005178822159763821
31,24.25,24.117,0.0051761506796071735
32,24.309,24.034,0.005178916255184837
33,24.259,24.084,0.0051769763847976736
34,24.24,24.071,0.005176874640165194
35,24.234,24.148,0.005175232122302286
36,24.148,24.171,0.005173146588792467
37,24.099,24.04,0.00517481952743268
38,24.235,24.137,0.005175469466666005
39,24.245,24.168,0.005175043375141071
40,24.291,24.134,0.005176589703519503
41,24.178,24.114,0.005174846520240308
42,24.256,24.047,0.005177654248506357
43,24.282,24.059,0.005177908430529832
44,24.093,24.127,0.005172978453614084
45,24.27,24.016,0.005178534988971574
46,24.166,24.256,0.0051717999807824305
47,24.227,24.188,0.005174305362609749
48,24.192,24.178,0.005173840989163065
49,24.209,24.066,0.005176386756849551
50,24.163,24.165,0.005173549820571633
51,24.229,24.114,0.00517581249260092
52,24.208,24.184,0.005174024911290915
53,24.152,24.133,0.005173976819407783
54,24.21,24.11,0.005175532042024153
55,24.19,24.127,0.005174815690941814
56,24.149,24.219,0.005172212554218467
57,23.976,24.136,0.005170583716401101
58,24.228,24.068,0.005176706919449863
59,24.198,24.071,0.00517607912746799
60,24.249,24.131,0.005175853765055587
61,24.268,24.206,0.005174724546338012
